,id,movie,year,rating,genre,runtime,imdb,metascore,votes,review_quality
279,279,The New Mutants,2020,PG-13,"['Action', ' Horror', ' Mystery']",94,53,43,83284,0
280,280,The Bad Batch,2016,R,"['Action', ' Horror', ' Mystery']",118,52,62,33234,0
281,281,I Am Legend,2007,PG-13,"['Action', ' Drama', ' Horror']",101,72,65,775767,1
282,282,1984,1984,R,"['Drama', ' Sci-Fi']",113,71,67,74478,2
283,283,"Honey, I Shrunk the Kids",1989,PG,"['Adventure', ' Comedy', ' Family']",93,64,63,159348,2
284,284,Iron Man 2,2010,PG-13,"['Action', ' Sci-Fi']",124,69,57,832228,1
285,285,Men in Black II,2002,PG-13,"['Action', ' Adventure', ' Comedy']",88,62,49,384643,0
286,286,Downsizing,2017,R,"['Drama', ' Fantasy', ' Sci-Fi']",135,58,63,115059,2
287,287,Journey to the Center of the Earth,2008,PG,"['Action', ' Adventure', ' Family']",93,58,57,126419,0
288,288,Isle of Dogs,2018,PG-13,"['Animation', ' Adventure', ' Comedy']",101,78,82,175668,2
289,289,Masters of the Universe,1987,PG,"['Action', ' Adventure', ' Fantasy']",106,53,35,42215,0
290,290,Love and Monsters,2020,PG-13,"['Action', ' Adventure', ' Comedy']",109,69,63,133322,2
291,291,Back to the Future Part II,1989,PG,"['Adventure', ' Comedy', ' Sci-Fi']",108,78,57,545035,1
292,292,Space Jam: A New Legacy,2021,PG,"['Animation', ' Adventure', ' Comedy']",115,45,36,74972,0
293,293,Minions,2015,PG,"['Animation', ' Adventure', ' Comedy']",91,64,56,245588,2
294,294,Mars Attacks!,1996,PG-13,"['Comedy', ' Sci-Fi']",106,64,52,233427,2
295,295,The Host,2006,R,"['Drama', ' Horror', ' Sci-Fi']",120,71,85,125999,2
296,296,Chaos Walking,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",109,57,38,51792,0
297,297,Time Bandits,1981,PG,"['Adventure', ' Comedy', ' Fantasy']",110,69,79,65544,2
298,298,Treasure Planet,2002,PG,"['Animation', ' Adventure', ' Family']",95,72,60,123962,2
299,299,"I, Robot",2004,PG-13,"['Action', ' Mystery', ' Sci-Fi']",115,71,59,552023,2
300,300,Demolition Man,1993,R,"['Action', ' Sci-Fi', ' Thriller']",115,67,34,182777,0
301,301,Paul,2011,R,"['Adventure', ' Comedy', ' Sci-Fi']",104,69,57,257982,2
302,302,Dark City,1998,R,"['Fantasy', ' Mystery', ' Sci-Fi']",100,76,66,204126,2
303,303,Hellboy,2004,PG-13,"['Action', ' Adventure', ' Fantasy']",122,68,72,336942,2
304,304,Splice,2009,R,"['Horror', ' Sci-Fi']",104,58,66,99270,2
305,305,Barbarella,1968,Approved,"['Adventure', ' Comedy', ' Fantasy']",98,59,51,36012,0
306,306,R.I.P.D.,2013,PG-13,"['Action', ' Adventure', ' Comedy']",96,56,25,138934,0
307,307,The 5th Wave,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,52,33,112722,0
308,308,Gattaca,1997,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",106,78,64,310773,2
309,309,Waterworld,1995,PG-13,"['Action', ' Adventure', ' Sci-Fi']",177,63,56,201340,2
310,310,Escape Room: Tournament of Champions,2021,PG-13,"['Action', ' Adventure', ' Horror']",88,57,48,49353,0
311,311,Rampage,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",107,61,45,173961,0
312,312,Robots,2005,PG,"['Animation', ' Adventure', ' Comedy']",91,64,64,153028,2
313,313,Transformers: Revenge of the Fallen,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",149,59,35,413173,0
314,314,The Amazing Spider-Man 2,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",142,66,53,509627,2
315,315,Snake Eyes,2021,PG-13,"['Action', ' Adventure', ' Crime']",121,54,43,41087,0
316,316,A Cure for Wellness,2016,R,"['Drama', ' Fantasy', ' Horror']",146,64,47,103163,0
317,317,Star Trek: First Contact,1996,PG-13,"['Action', ' Adventure', ' Drama']",111,76,71,128125,2
